CMD_MIL_AREA,UF,MUNICIPIO,ENTIDADE,CURSO,LOCAL,INICIO,TERMINO,CARGA_HORARIA,EFETIVO_INICIAL,EFETIVO_FINAL,VALOR_HORA_AULA,VALOR_TOTAL
CMP,DF,Brasília,SENAI,Inst. e rec. de eqp de segurança eletrônica,Taguatinga,2/10/2017,27/10/2017,160,21,21,"R$ 5,43","R$ 18.244,80"
CMP,DF,Brasília,SENAC,Garçom,Setor Comercial,30/10/2017,24/11/2017,250,20,20,"R$ 4,73","R$ 23.650,00"
CMP,DF,Brasília,LUGER,Formação de Vigilante,asa norte,2/10/2017,7/11/2017,200,38,38,"R$ 3,49","R$ 26.524,00"
CMP,TO,Palmas,Serviço Nacional de Aprendizagem Comercial,Recepcionista em Meios de Hospedagem,SENAC - TO,28/9/2017,1/12/2017,160,12,12,"R$ 3,00","R$ 5.760,00"
CMP,TO,Palmas,Serviço Nacional de Aprendizagem Comercial,Atendente de Farmácia,SENAC - TO,4/9/2017,7/12/2017,240,8,8,"R$ 2,92","R$ 5.606,40"
CMP,TO,Palmas,Serviço Nacional de Aprendizagem Comercial,Fotógrado,SENAC - TO,4/9/2017,17/11/2017,190,6,6,"R$ 3,95","R$ 4.503,00"
CMP,TO,Palmas,Serviço Nacional de Aprendizagem Comercial,Operador de Computador,SENAC - TO,22/8/2017,24/11/2017,196,10,10,"R$ 2,80","R$ 5.488,00"
CMP,TO,Palmas,Serviço Nacional de Aprendizagem Comercial,Montador e Reparador de Computadores,SENAC - TO,21/6/2017,15/8/2017,160,8,8,"R$ 2,81","R$ 3.596,80"
CMP,TO,Palmas,Serviço Nacional de Aprendizagem Comercial,Montador e Reparador de Computadores,SENAC - TO,2/10/2017,5/12/2017,160,8,8,"R$ 2,81","R$ 3.596,80"
CMP,TO,Palmas,Serviço Nacional de Aprendizagem Comercial,Instalador e Reparador de Redes de Computador,SENAC - TO,21/6/2017,25/9/2017,200,8,8,"R$ 3,00","R$ 4.800,00"
CMP,GO,Goiânia,SELF DEFENSE,Vigilante Armado,SELF DEFENSE,29/5/2017,17/6/2017,160,13,13,"R$ 3,84","R$ 7.987,20"
CMP,GO,Goiânia,SELF DEFENSE,Vigilante Armado,SELF DEFENSE,29/5/2017,17/6/2017,160,13,13,"R$ 3,84","R$ 7.987,20"
CMS,RS,Alegrete,SEST/SENAT - URUGUAIANA,Condutor de Veículos de Emergência,Alegrete,18/9/2017,22/9/2017,25,25,25,"R$ 4,00","R$ 2.500,00"
CMS,RS,Alegrete,SEST/SENAT - URUGUAIANA,transporte coletivo de passageiros,Alegrete,16/10/2017,20/10/2017,25,25,25,"R$ 2,70","R$ 1.687,50"
CMS,RS,Alegrete,SEST/SENAT - URUGUAIANA,transporte de cargas indivisíveis,Uruguaiana,2/10/2017,6/10/2017,25,25,25,"R$ 2,91","R$ 1.818,75"
CMS,RS,Alegrete,SEST/SENAT - URUGUAIANA,Transporte de Produtos Perigosos,Alegrete,11/9/2017,15/9/2017,50,25,25,"R$ 1,58","R$ 1.975,00"
CMS,RS,Porto Alegre,SENAT,Transporte Coletivo de Passageiros,Cia C CMS,18/9/2017,22/9/2017,50,20,20,"R$ 4,00","R$ 4.000,00"
CMS,RS,Porto Alegre,1º CTA,Cabeamento e redes eletrônicas de dados,1º CTA,4/9/2017,22/9/2017,50,20,20,"R$ 5,00","R$ 5.000,00"
CMS,RS,Porto Alegre,SENAC-RS,Auxiliar de cozinheiro,Base de Administração e Apoio/3ª RM,18/9/2017,6/10/2017,160,25,25,"R$ 5,69","R$ 22.760,00"
CMS,RS,Porto Alegre,SENAC-INFORMÁTICA,Editor de Vídeo,SENAC INFORMÁTICA,30/5/2017,26/6/2017,160,20,20,"R$ 5,87","R$ 18.784,00"
CMS,RS,Porto Alegre,SENAT,Movimentação de Produtos Perigosos,Cia C CMS,24/10/2017,1/11/2017,50,25,25,"R$ 4,00","R$ 5.000,00"
CMS,RS,Porto Alegre,SENAC-RS,Auxiliar de Cozinheiro,18º Batalhão de Infantaria Motorizado,4/9/2017,22/9/2017,160,20,20,"R$ 5,69","R$ 18.208,00"
CMS,RS,São Borja,2º REGIMENTO DE CAVALARIA MECANIZADO,Mecânica Diesel,SENAT - URUGUAIANA,9/10/2017,18/10/2017,40,6,6,"R$ 5,00","R$ 1.200,00"
CMS,RS,São Borja,2º REGIMENTO DE CAVALARIA MECANIZADO,Condutor de veículos de emergência,SENAT - URUGUAIANA,27/11/2017,1/12/2017,50,6,6,"R$ 3,60","R$ 1.080,00"
CMS,RS,São Borja,2º REGIMENTO DE CAVALARIA MECANIZADO,Frentista Abastecedor,SENAT - URUGUAIANA,2/10/2017,4/10/2017,20,6,6,"R$ 4,50","R$ 540,00"
CMS,RS,São Borja,2º REGIMENTO DE CAVALARIA MECANIZADO,Transporte coletivo de passageiros,SENAT - URUGUAIANA,6/11/2017,10/11/2017,50,6,6,"R$ 3,60","R$ 1.080,00"
CMS,RS,São Borja,2º REGIMENTO DE CAVALARIA MECANIZADO,Transporte de Cargas Indivisíveis,SENAT - URUGUAIANA,25/9/2017,29/9/2017,50,6,6,"R$ 2,60","R$ 780,00"
CMS,RS,São Borja,2º REGIMENTO DE CAVALARIA MECANIZADO,Transporte de produtos perigosos,SENAT - URUGUAIANA,30/10/2017,3/11/2017,50,6,6,"R$ 3,60","R$ 1.080,00"
CMS,RS,São Borja,2º REGIMENTO DE CAVALARIA MECANIZADO,Gestão de Frota,SENAT - URUGUAIANA,23/10/2017,25/10/2017,20,6,6,"R$ 4,50","R$ 540,00"
CMS,RS,Bento Gonçalves,SENAC,Técnicas básicas de pizza e Aux Cozinheiro,Bento Gonçalves - RS,9/10/2017,28/10/2017,160,20,20,"R$ 6,65","R$ 21.280,00"
CMS,RS,Santa Rosa,SENAT,Condutor de veículos de emergência,SENAT/SANTA ROSA,2/10/2017,6/10/2017,50,12,12,"R$ 3,20","R$ 1.920,00"
CMS,RS,Santa Rosa,SENAT,Transporte coletivo de passageiros,SENAT/SANTA ROSA,25/9/2017,29/9/2017,50,13,13,"R$ 3,20","R$ 2.080,00"
CMS,RS,Santa Rosa,SENAT,Transporte de Produtos Perigosos,SENAT/SANTA ROSA,22/5/2017,26/5/2017,50,13,13,"R$ 3,20","R$ 2.080,00"
CMS,RS,Santa Rosa,SENAT,Transporte de cargas indivisíveis,SENAT/SANTA ROSA,16/10/2017,20/10/2017,50,12,12,"R$ 3,20","R$ 1.920,00"
CMS,RS,Porto Alegre,8º Batalhão Logístico,Formação de Condutores Categoria D,8º Batalhão Logístico,3/7/2017,21/7/2017,70,18,18,"R$ 5,00","R$ 6.300,00"
CMS,RS,Porto Alegre,8º Batalhão Logístico,Formação de Condutores Categoria C,8º Batalhão Logístico,3/7/2017,21/7/2017,70,1,1,"R$ 5,00","R$ 350,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,3/4/2017,13/4/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,5/6/2017,15/6/2017,70,8,8,"R$ 5,00","R$ 2.800,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,7/8/2017,18/8/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,9/10/2017,20/10/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,"Mudança de Categoria (C, D e E)",4º B Log,4/12/2017,15/12/2017,70,12,12,"R$ 5,00","R$ 4.200,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Curso para Condutores de Veículos de Emergênc,4º B Log,7/2/2017,15/2/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Curso para Condutores de Veículos de Emergênc,4º B Log,24/10/2017,1/11/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte Coletivo de Passageiros,4º B Log,28/8/2017,1/9/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte de Cargas Indivisíveis,4º B Log,8/8/2017,16/6/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
CMS,RS,Santa Maria,Centro de Formação de Condutores Verde Oliva,Transporte de Produtos Perigosos,4º B Log,25/7/2017,2/8/2017,50,25,25,"R$ 5,00","R$ 6.250,00"
